id,trip_id,name,icon,created_at,sort_order
5a677ef0-93ac-4556-b0ac-88757c820079,ef159827-95da-46f4-8524-ea23685b4d61,מסעדות,🍽️,2026-03-08 20:51:52.342354+00,0
954a014e-2473-48c2-be0a-cc9f5ae3a608,ef159827-95da-46f4-8524-ea23685b4d61,test,compass,2026-03-11 20:42:05.926143+00,1
a952a621-4df4-4ae7-8b18-1d873e851186,eda21203-1fc9-4daf-9ca3-f0ee856e1e20,Camping & Apartments,map_pin,2026-03-13 20:32:31.33194+00,0
b6464b44-25c4-454a-b64b-7c5d7636011e,eda21203-1fc9-4daf-9ca3-f0ee856e1e20,Restaurants,utensils,2026-03-13 20:51:31.715965+00,0
1c7d2d3d-a8cd-4467-b03e-f367dd4450fc,eda21203-1fc9-4daf-9ca3-f0ee856e1e20,Attractions,sparkles,2026-03-13 21:00:20.36965+00,0
554accfe-c716-4a74-aaa7-1467856a02ff,ef159827-95da-46f4-8524-ea23685b4d61,Attractions,sparkles,2026-03-20 19:55:35.359602+00,0
6747c6ee-0f34-45fe-a00d-223b8162a8d9,ef159827-95da-46f4-8524-ea23685b4d61,Shopping,gift,2026-03-21 07:49:13.304473+00,0
